[2025-10-23T12:03:12.268Z] ERROR: Validation failed [{"type":"field","value":"12345678","msg":"Password must contain at least one lowercase letter, one uppercase letter, and one number","path":"password","location":"body"}]
[2025-10-23T12:14:42.023Z] ERROR: Login Validation failed [{"type":"field","value":"","msg":"Email or username is required","path":"identifier","location":"body"}]
[2025-10-23T13:02:44.244Z] ERROR: User not found
[2025-10-23T13:02:44.245Z] ERROR: User authentication failed
[2025-10-23T13:02:44.247Z] ERROR: Login error
[2025-10-23T13:03:31.852Z] ERROR: User not found
[2025-10-23T13:03:31.853Z] ERROR: User authentication failed
[2025-10-23T13:03:31.855Z] ERROR: Login error
[2025-10-23T23:21:49.556Z] ERROR: Failed to save log {"errors":{"userId":{"name":"ValidatorError","message":"Path `userId` is required.","properties":{"message":"Path `userId` is required.","type":"required","path":"userId","value":null},"kind":"required","path":"userId","value":null}},"_message":"log validation failed","name":"ValidationError","message":"log validation failed: userId: Path `userId` is required."}
[2025-10-23T23:21:49.565Z] ERROR: Failed to save log {"errors":{"userId":{"name":"ValidatorError","message":"Path `userId` is required.","properties":{"message":"Path `userId` is required.","type":"required","path":"userId","value":null},"kind":"required","path":"userId","value":null}},"_message":"log validation failed","name":"ValidationError","message":"log validation failed: userId: Path `userId` is required."}
[2025-10-24T00:13:33.772Z] ERROR: Redis Client Error
[2025-10-24T00:13:33.856Z] ERROR: Redis Client Error
[2025-10-24T00:13:33.897Z] ERROR: Redis Client Error
[2025-10-24T00:13:33.987Z] ERROR: Redis Client Error
[2025-10-24T00:13:33.991Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.133Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.137Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.294Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.299Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.478Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.481Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.704Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.707Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.984Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.985Z] ERROR: Redis Client Error
[2025-10-24T00:13:35.309Z] ERROR: Redis Client Error
[2025-10-24T00:13:35.311Z] ERROR: Redis Client Error
[2025-10-24T00:13:35.676Z] ERROR: Redis Client Error
[2025-10-24T00:13:35.680Z] ERROR: Redis Client Error
[2025-10-24T04:56:14.315Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:14.832Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:15.340Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:15.854Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:16.370Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:16.883Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:17.395Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:17.910Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:18.422Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:18.935Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:19.448Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:19.965Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:20.480Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:20.996Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:21.500Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:22.016Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:22.529Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:23.041Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:23.556Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:24.071Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:24.583Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:25.101Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:25.616Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:26.131Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:26.647Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:27.161Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:27.676Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:28.192Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:28.707Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:29.222Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:29.725Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:30.229Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:30.746Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:31.263Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:31.777Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:32.280Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:32.795Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:33.310Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:33.826Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:34.343Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:34.858Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:35.369Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:35.885Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:36.401Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:36.913Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:37.426Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:37.941Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:38.457Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:38.972Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:39.488Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:40.007Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:40.517Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:41.034Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:41.546Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:42.057Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:42.573Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:43.080Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:43.594Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:44.111Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:44.627Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:45.140Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:45.655Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:46.170Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:46.685Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:47.200Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:47.716Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:48.226Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:48.737Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:49.253Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:49.769Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:50.284Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:50.800Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:51.317Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:51.832Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:52.342Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:52.857Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:53.369Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:53.872Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:54.387Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:54.902Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:55.419Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:55.934Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:56.447Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:56.959Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:57.475Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:57.989Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:58.507Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:59.010Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:59.522Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:00.033Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:00.551Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:01.068Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:01.584Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:02.096Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:02.611Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:03.125Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:03.637Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:04.151Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:04.671Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:05.185Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:05.696Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:06.215Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:06.733Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:07.247Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:07.763Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:08.280Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:08.792Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:09.308Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:09.822Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:10.337Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:10.851Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:11.364Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:11.881Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:12.393Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:12.901Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:13.416Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:13.929Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:14.444Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:14.960Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:15.476Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:15.991Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:16.509Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:17.025Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:17.535Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:18.048Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:18.564Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:19.079Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:19.593Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:20.108Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:20.620Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:21.133Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:21.653Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:22.162Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:22.681Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:23.197Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:23.711Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:24.226Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:24.740Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:25.253Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:25.768Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:26.284Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:26.798Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:27.313Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:27.829Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:28.345Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:28.863Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:29.379Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:29.890Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:30.401Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:30.916Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:31.429Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:31.946Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:32.461Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:32.976Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:33.491Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:34.007Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:34.523Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:35.035Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:35.548Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:36.052Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:36.562Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:37.074Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:37.587Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:38.090Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:38.606Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:39.123Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:39.641Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:40.155Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:40.660Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:41.173Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:41.675Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:42.191Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:42.704Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:43.219Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:43.735Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:44.239Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:44.752Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:45.270Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:57:45.778Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
